type,features__type,features__geometry__type,x,y,features__geometry__coordinates__003,features__geometry__coordinates__004,features__properties__OBJECTID,features__properties__BLOCKNAME,Rotation1,total,Rotation2
FeatureCollection,Feature,Point,472902.2075,5363875.92,0,-1.79769313486232E+308,1,VOLEFT,1.414073379,1791,81.0204
,Feature,Point,472022.1861,5365591.613,0,-1.79769313486232E+308,2,VOLEFT,5.682626341,9905,325.591
,Feature,Point,472081.6118,5365496.819,0,-1.79769313486232E+308,3,VOLRIGHT,5.683338032,7802,325.631
,Feature,Point,471962.4169,5366051.428,0,-1.79769313486232E+308,4,VOLEFT,5.665915913,9811,324.633
,Feature,Point,472020.2503,5365955.654,0,-1.79769313486232E+308,5,VOLRIGHT,5.666627604,9555,324.674
,Feature,Point,472534.5891,5366038.716,0,-1.79769313486232E+308,6,VOLEFT,5.035575096,18621,288.517
,Feature,Point,472519.4573,5365908.16,0,-1.79769313486232E+308,7,VOLRIGHT,5.036286786,19781,288.558
,Feature,Point,472993.8022,5365710.553,0,-1.79769313486232E+308,8,VOLEFT,5.067239074,21362,290.331
,Feature,Point,472979.3714,5365586.702,0,-1.79769313486232E+308,9,VOLRIGHT,5.067950765,24096,290.372
,Feature,Point,473318.7374,5365952.279,0,-1.79769313486232E+308,10,VOLEFT,4.907760169,6452,281.194
,Feature,Point,473294.878,5365842.972,0,-1.79769313486232E+308,11,VOLRIGHT,4.90847186,6785,281.235
,Feature,Point,474115.52,5366324.217,0,-1.79769313486232E+308,12,VOLEFT,4.875039015,9920,279.319
,Feature,Point,474092.6921,5366203.185,0,-1.79769313486232E+308,13,VOLRIGHT,4.875750705,9947,279.36
,Feature,Point,474596.3696,5366218.178,0,-1.79769313486232E+308,14,VOLEFT,1.066246701,5137,61.0914
,Feature,Point,474603.5099,5366326.823,0,-1.79769313486232E+308,15,VOLRIGHT,1.066958392,5885,61.1322
,Feature,Point,475379.445,5365987.761,0,-1.79769313486232E+308,16,VOLEFT,1.597963122,12256,91.5565
,Feature,Point,475331.0797,5366088.53,0,-1.79769313486232E+308,17,VOLRIGHT,1.598674813,13039,91.5973
,Feature,Point,475436.9817,5365899.147,0,-1.79769313486232E+308,18,VOLEFT,0.601680465,10608,34.4738
,Feature,Point,475495.2894,5365994.508,0,-1.79769313486232E+308,19,VOLRIGHT,0.602392156,10912,34.5145
,Feature,Point,474165.4714,5365476.82,0,-1.79769313486232E+308,20,VOL3NUM,4.904412149,0,281.002
,Feature,Point,473090.9371,5361750.284,0,-1.79769313486232E+308,21,VOLRIGHT,6.175637308,3367,353.838
,Feature,Point,472990.6489,5361805.446,0,-1.79769313486232E+308,22,VOLEFT,6.124433625,3349,350.904
,Feature,Point,473071.6304,5362766.829,0,-1.79769313486232E+308,23,VOLRIGHT,5.506736484,4173,315.513
,Feature,Point,473027.1611,5362872.295,0,-1.79769313486232E+308,24,VOLEFT,5.455532801,4799,312.579
,Feature,Point,472749.5922,5363289.139,0,-1.79769313486232E+308,25,VOLRIGHT,1.493425555,7764,85.567
,Feature,Point,472697.4815,5363187.232,0,-1.79769313486232E+308,26,VOLEFT,1.442221872,7290,82.6332
,Feature,Point,473167.3125,5363349.046,0,-1.79769313486232E+308,27,VOLRIGHT,1.386814676,7340,79.4586
,Feature,Point,473121.6248,5363275.252,0,-1.79769313486232E+308,28,VOLEFT,1.3841044,6926,79.3033
,Feature,Point,472990.0086,5363172.588,0,-1.79769313486232E+308,29,VOLRIGHT,5.400626827,1294,309.433
,Feature,Point,472962.8835,5363255.032,0,-1.79769313486232E+308,30,VOLEFT,5.397916551,2090,309.278
,Feature,Point,473030.9015,5363254.015,0,-1.79769313486232E+308,31,VOLRIGHT,6.117951712,1026,350.533
,Feature,Point,472956.2642,5363298.311,0,-1.79769313486232E+308,32,VOLEFT,6.115241436,1131,350.378
,Feature,Point,472924.1711,5363210.573,0,-1.79769313486232E+308,33,VOLRIGHT,1.493425555,5869,85.567
,Feature,Point,472872.0605,5363108.666,0,-1.79769313486232E+308,34,VOLEFT,1.442221872,7668,82.6332
,Feature,Point,473107.2196,5363111.33,0,-1.79769313486232E+308,35,VOLRIGHT,0.97020747,6801,55.5888
,Feature,Point,473011.5201,5363050.702,0,-1.79769313486232E+308,36,VOLEFT,0.933073115,5303,53.4612
,Feature,Point,473302.5099,5363299.77,0,-1.79769313486232E+308,37,VOLRIGHT,6.117951712,1113,350.533
,Feature,Point,473202.9935,5363358.832,0,-1.79769313486232E+308,38,VOLEFT,6.115241436,1021,350.378
,Feature,Point,473311.0621,5363392.248,0,-1.79769313486232E+308,39,VOLRIGHT,6.117951712,1539,350.533
,Feature,Point,473211.5457,5363451.31,0,-1.79769313486232E+308,40,VOLEFT,6.115241436,1867,350.378
,Feature,Point,473344.5167,5363572.905,0,-1.79769313486232E+308,41,VOLRIGHT,6.117951712,1482,350.533
,Feature,Point,473245.0003,5363631.966,0,-1.79769313486232E+308,42,VOLEFT,6.115241436,1718,350.378
,Feature,Point,473250.4426,5363686.365,0,-1.79769313486232E+308,43,VOLEFT,6.115241436,10644,350.378
,Feature,Point,473325.8495,5363480.314,0,-1.79769313486232E+308,44,VOLRIGHT,6.117951712,9671,350.533
,Feature,Point,473890.1179,5363801.134,0,-1.79769313486232E+308,45,VOLRIGHT,1.394534977,9794,79.901
,Feature,Point,473828.0744,5363704.149,0,-1.79769313486232E+308,46,VOLEFT,1.388120983,10338,79.5335
,Feature,Point,473678.6331,5363835.298,0,-1.79769313486232E+308,47,VOLRIGHT,1.394534977,3460,79.901
,Feature,Point,473616.5896,5363738.313,0,-1.79769313486232E+308,48,VOLEFT,1.388120983,3518,79.5335
,Feature,Point,473475.0901,5363875.832,0,-1.79769313486232E+308,49,VOLRIGHT,1.394534977,5798,79.901
,Feature,Point,473413.0465,5363778.847,0,-1.79769313486232E+308,50,VOLEFT,1.388120983,6297,79.5335
,Feature,Point,473267.1079,5363898.215,0,-1.79769313486232E+308,51,VOLRIGHT,1.428127132,11270,81.8257
,Feature,Point,473209.4508,5363820.41,0,-1.79769313486232E+308,52,VOLEFT,1.431868285,15438,82.04
,Feature,Point,473367.6023,5363766.112,0,-1.79769313486232E+308,53,VOLRIGHT,6.117951712,9112,350.533
,Feature,Point,473284.7036,5363883.221,0,-1.79769313486232E+308,54,VOLEFT,6.115241436,12745,350.378
,Feature,Point,473057.9852,5363942.626,0,-1.79769313486232E+308,55,VOLRIGHT,1.447613909,6115,82.9422
,Feature,Point,472995.0028,5363851.361,0,-1.79769313486232E+308,56,VOLEFT,1.395272355,11010,79.9432
,Feature,Point,472861.9371,5363954.257,0,-1.79769313486232E+308,57,VOLRIGHT,1.390026468,4102,79.6426
,Feature,Point,472820.4182,5363912.307,0,-1.79769313486232E+308,58,VOLEFT,1.45560015,3684,83.3997
,Feature,Point,472659.064,5363976.904,0,-1.79769313486232E+308,59,VOLRIGHT,1.192711859,4591,68.3374
,Feature,Point,472621.2037,5363936.006,0,-1.79769313486232E+308,60,VOLEFT,1.192000168,3745,68.2966
,Feature,Point,472227.1279,5363943.246,0,-1.79769313486232E+308,61,VOLRIGHT,6.206144222,10159,355.586
,Feature,Point,472125.6025,5364007.5,0,-1.79769313486232E+308,62,VOLEFT,6.205432531,9166,355.545
,Feature,Point,472077.165,5364628.262,0,-1.79769313486232E+308,63,VOLRIGHT,0.272029806,10511,15.5862
,Feature,Point,471953.1247,5364663.367,0,-1.79769313486232E+308,64,VOLEFT,0.271318116,10780,15.5454
,Feature,Point,471030.8795,5365154.576,0,-1.79769313486232E+308,65,VOLRIGHT,5.876873515,6686,336.72
,Feature,Point,470952.0837,5365231.763,0,-1.79769313486232E+308,66,VOLEFT,5.876161825,6447,336.679
,Feature,Point,470937.2484,5364294.651,0,-1.79769313486232E+308,67,VOLRIGHT,5.855729491,8607,335.509
,Feature,Point,470860.1021,5364373.487,0,-1.79769313486232E+308,68,VOLEFT,5.8550178,8391,335.468
,Feature,Point,470832.5372,5364478.611,0,-1.79769313486232E+308,69,VOLRIGHT,6.206144222,3092,355.586
,Feature,Point,470733.0157,5364526.173,0,-1.79769313486232E+308,70,VOLEFT,6.205432531,3996,355.545
,Feature,Point,472930.9542,5363472.282,0,-1.79769313486232E+308,71,VOLRIGHT,6.110601058,3674,350.112
,Feature,Point,472838.179,5363528.371,0,-1.79769313486232E+308,72,VOLEFT,6.11946872,6733,350.62
,Feature,Point,472948.9105,5363588.946,0,-1.79769313486232E+308,73,VOLRIGHT,6.121438279,4934,350.733
